#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
,,こうちゃ,,,unseen,N5
301,公園,kouen,Noun,park,unseen,N5
,,こうえん,,,unseen,N5
302,交差点,kousaten,Noun,intersection,unseen,N5
,,こうさてん,,,unseen,N5
303,口,kuchi,Noun,"mouth, opening",unseen,N5
,,くち,,,unseen,N5
304,果物,kudamono,Noun,fruit,unseen,N5
,,くだもの,,,unseen,N5
305,下さい,kudasai,Expression,please,unseen,N5
,,ください,,,unseen,N5
306,曇り,kumori,Noun,cloudiness; cloudy weather,unseen,N5
,,くもり,,,unseen,N5
307,曇る,kumoru,"Verb, Godan verb, Intransitive verb","to become cloudy, to become dim",unseen,N5
,,くもる,,,unseen,N5
308,国,kuni,Noun,country; state; region,unseen,N5
,,くに,,,unseen,N5
309,暗い,kurai,"Adjective, い-adjective",dark; gloomy; murky,unseen,N5
,,くらい,,,unseen,N5
310,クラス,kurasu,"Noun, Katakana",class,unseen,N5
,,,,,,
311,黒,kuro,Noun,black,unseen,N5
,,くろ,,,unseen,N5
312,黒い,kuroi,い-adjective,black,unseen,N5
,,くろい,,,unseen,N5
313,来る,kuru,"Verb, Intransitive verb",to come,unseen,N5
,,くる,,,unseen,N5
314,車,kuruma,Noun,car; automobile; vehicle,unseen,N5
,,くるま,,,unseen,N5
315,薬,kusuri,Noun,medicine,unseen,N5
,,くすり,,,unseen,N5
316,靴,kutsu,Noun,shoes,unseen,N5
,,くつ,,,unseen,N5
317,靴下,kutsushita,Noun,socks,unseen,N5
,,くつした,,,unseen,N5
318,去年,kyonen,Noun,last year,unseen,N5
,,きょねん,,,unseen,N5
319,今日,kyou,"Noun, Temporal noun",today; this day,unseen,N5
,,きょう,,,unseen,N5
320,兄弟,kyoudai,Noun,siblings; brothers and sisters​; mate,unseen,N5
,,きょうだい,,,unseen,N5
321,教室,kyoushitsu,Noun,classroom,unseen,N5
,,きょうしつ,,,unseen,N5
322,九,kyuu,"Noun, Numeric",nine; 9,unseen,N5
,,きゅう,,,unseen,N5
323,マッチ,macchi,"Noun, Katakana",match,unseen,N5
,,,,,,
324,町,machi,Noun,town; block; neighborhood,unseen,N5
,,まち,,,unseen,N5
325,窓,mado,Noun,window,unseen,N5
,,まど,,,unseen,N5
326,前,mae,"Noun, Suffix",previous; before; in front; ago,unseen,N5
,,まえ,,,unseen,N5
327,曲がる,magaru,"Verb, Godan verb, Intransitive verb","to turn, to bend",unseen,N5
,,まがる,,,unseen,N5
328,毎朝,maiasa,Noun,every morning,unseen,N5
,,まいあさ,,,unseen,N5
329,毎晩,maiban,Noun,every night,unseen,N5
,,まいばん,,,unseen,N5
330,毎日,mainichi,Noun,every day,unseen,N5
,,まいにち,,,unseen,N5
331,毎週,maishuu,Noun,every week,unseen,N5
,,まいしゅう,,,unseen,N5
332,毎年,maitoshi / mainen,Noun,every year; yearly; annually,unseen,N5
,,まいとし / まいねん,,,unseen,N5
333,毎月,maitsuki,Noun,every month; monthly,unseen,N5
,,まいつき,,,unseen,N5
334,万,man,"Noun, Numeric","10,000; ten thousand",unseen,N5
,,まん,,,unseen,N5
335,万年筆,mannenhitsu,Noun,fountain pen,unseen,N5
,,まんねんひつ,,,unseen,N5
336,丸い,marui,"Adjective, い-adjective","round,circular",unseen,N5
,,まるい,,,unseen,N5
337,真っ直ぐ,massugu,"Noun, Adjective, な-adjective, Adverb","straight ahead,direct",unseen,N5
,,まっすぐ,,,unseen,N5
338,待つ,matsu,"Verb, Godan verb, Intransitive verb, Transitive verb",to wait​,unseen,N5
,,まつ,,,unseen,N5
339,不味い,mazui,"Adjective, い-adjective",unpleasant,unseen,N5
,,まずい,,,unseen,N5
340,目,me,Noun,eye,unseen,N5
,,め,,,unseen,N5
341,メートル,meetoru,"Noun, Katakana",metre; meter,unseen,N5
,,,,,,
342,眼鏡,megane,Noun,glasses,unseen,N5
,,めがね,,,unseen,N5
343,道,michi,Noun,road; street,unseen,N5
,,みち,,,unseen,N5
344,緑,midori,Noun,green,unseen,N5
,,みどり,,,unseen,N5
345,磨く,migaku,"Verb, Godan verb, Intransitive verb",to polish; to shine; to brush (e.g. teeth),unseen,N5
,,みがく,,,unseen,N5
346,右,migi,Noun,right; right hand side,unseen,N5
,,みぎ,,,unseen,N5
347,短い,mijikai,"Adjective, い-adjective",short,unseen,N5
,,みじかい,,,unseen,N5
348,三日,mikka,Noun,the third day of the month / 3 days,unseen,N5
,,みっか,,,unseen,N5
349,耳,mimi,Noun,ear; hearing,unseen,N5
,,みみ,,,unseen,N5
350,南,minami,Noun,south,unseen,N5
,,みなみ,,,unseen,N5
351,皆さん,minasan,Noun,everyone,unseen,N5
,,みなさん,,,unseen,N5
352,みんな,minna,"Noun, Adverb",all; everyone; everybody,unseen,N5
,,,,,,
353,見る,miru,"Verb, Ichidan verb, Transitive verb",to see; to look; to watch; to view; to observe,unseen,N5
,,みる,,,unseen,N5
354,店,mise,Noun,store; shop; establishment; restaurant,unseen,N5
,,みせ,,,unseen,N5
355,見せる,miseru,"Verb, Ichidan verb, Transitive verb",to show; to display,unseen,N5
,,みせる,,,unseen,N5
356,三つ,mittsu,"Noun, Numeric",three; 3,unseen,N5
,,みっつ,,,unseen,N5
357,水,mizu,Noun,water; fluid; liquid​,unseen,N5
,,みず,,,unseen,N5
358,木曜日,mokuyoubi,Noun,Thursday,unseen,N5
,,もくようび,,,unseen,N5
359,門,mon,Noun,gate,unseen,N5
,,もん,,,unseen,N5
360,問題,mondai,Noun,problem; question (e.g. on a test),unseen,N5
,,もんだい,,,unseen,N5
361,物,mono,Noun,thing,unseen,N5
,,もの,,,unseen,N5
362,持つ,motsu,"Verb, Godan verb",to hold,unseen,N5
,,もつ,,,unseen,N5
363,もっと,motto,Adverb,more; longer; further,unseen,N5
,,,,,,
364,もう一度,mouichido,Expression,once more; again,unseen,N5
,,もういちど,,,unseen,N5
365,六日,muika,Noun,sixth day of the month / 6 days,unseen,N5
,,むいか,,,unseen,N5
366,向こう,mukou,Noun,over there,unseen,N5
,,むこう,,,unseen,N5
367,村,mura,Noun,village,unseen,N5
,,むら,,,unseen,N5
368,六つ,muttsu,"Noun, Numeric",six; 6,unseen,N5
,,むっつ,,,unseen,N5
369,難しい,muzukashii,"Adjective, い-adjective",difficult,unseen,N5
,,むずかしい,,,unseen,N5
370,長い,nagai,"Adjective, い-adjective",long (distance)​; long (time); lengthy.,unseen,N5
,,ながい,,,unseen,N5
371,ナイフ,naifu,"Noun, Katakana",knife,unseen,N5
,,,,,,
372,中,naka,Noun,inside; in; within; center,unseen,N5
,,なか,,,unseen,N5
373,鳴く,naku,"Verb, Godan verb, Intransitive verb",animal noise. to chirp,unseen,N5
,,なく,,,unseen,N5
374,無くす,nakusu,"Verb, Godan verb, Transitive verb",to lose (something),unseen,N5
,,なくす,,,unseen,N5
375,名前,namae,Noun,name; full name; given name,unseen,N5
,,なまえ,,,unseen,N5
376,七つ,nanatsu,"Noun, Numeric",seven; 7,unseen,N5
,,ななつ,,,unseen,N5
377,何,nani,"Noun, Pronoun, Prefix",what,unseen,N5
,,なに,,,unseen,N5
378,七日,nanoka,Noun,seventh day of the month / 7 days,unseen,N5
,,なのか,,,unseen,N5
379,並べる,naraberu,"Verb, Ichidan verb, Transitive verb","to line up,to set up",unseen,N5
,,ならべる,,,unseen,N5
380,並ぶ,narabu,"Verb, Godan verb, Intransitive verb","to line up,to stand in a line",unseen,N5
,,ならぶ,,,unseen,N5
381,習う,narau,"Verb, Godan verb, Transitive verb",to be taught; to learn (from a teacher),unseen,N5
,,ならう,,,unseen,N5
382,夏,natsu,Noun,summer,unseen,N5
,,なつ,,,unseen,N5
383,夏休み,natsuyasumi,Noun,summer vacation; summer holiday,unseen,N5
,,なつやすみ,,,unseen,N5
384,何故,naze,Adverb,why; how,unseen,N5
,,なぜ,,,unseen,N5
385,猫,neko,Noun,cat,unseen,N5
,,ねこ,,,unseen,N5
386,ネクタイ,nekutai,"Noun, Katakana",tie; necktie,unseen,N5
,,,,,,
387,寝る,neru,"Verb, Ichidan verb, Intransitive verb",to sleep; to go to bed; to lie down,unseen,N5
,,ねる,,,unseen,N5
388,二,ni,"Noun, Numeric",two; 2,unseen,N5
,,に,,,unseen,N5
389,日曜日,nichiyoubi,Noun,Sunday,unseen,N5
,,にちようび,,,unseen,N5
390,賑やか,nigiyaka,"Adjective, な-adjective","bustling,busy",unseen,N5
,,にぎやか,,,unseen,N5
391,日記,nikki,Noun,diary; journal,unseen,N5
,,にっき,,,unseen,N5
392,肉,niku,Noun,meat,unseen,N5
,,にく,,,unseen,N5
393,荷物,nimotsu,Noun,luggage; baggage,unseen,N5
,,にもつ,,,unseen,N5
394,西,nishi,Noun,west,unseen,N5
,,にし,,,unseen,N5
395,庭,niwa,Noun,garden,unseen,N5
,,にわ,,,unseen,N5
396,登る,noboru,"Verb, Godan verb, Intransitive verb",to climb,unseen,N5
,,のぼる,,,unseen,N5
397,飲み物,nomimono,Noun,drink; beverage,unseen,N5
,,のみもの,,,unseen,N5
398,飲む,nomu,"Verb, Godan verb, Transitive verb",to drink,unseen,N5
,,のむ,,,unseen,N5
399,ノート,nooto,"Noun, Katakana",notebook,unseen,N5
,,,,,,
400,乗る,noru,"Verb, Godan verb, Intransitive verb","to get on (train, plane, bus, ship, etc.)",unseen,N5
,,のる,,,unseen,N5
401,脱ぐ,nugu,"Verb, Godan verb, Transitive verb",to take off clothes,unseen,N5
,,ぬぐ,,,unseen,N5
402,温い,nurui,"Adjective, い-adjective",luke warm,unseen,N5
,,ぬるい,,,unseen,N5
403,ニュース,nyuusu,"Noun, Katakana",news,unseen,N5
,,,,,,
404,おばあさん,obaasan,Noun,grandmother,unseen,N5
,,,,,,
405,伯母さん,obasan,Noun,aunt; old lady,unseen,N5
,,おばさん,,,unseen,N5
406,お弁当,obentou,Noun,lunch box; Japanese box lunch,unseen,N5
,,おべんとう,,,unseen,N5
407,覚える,oboeru,"Verb, Ichidan verb, Transitive verb",to remember,unseen,N5
,,おぼえる,,,unseen,N5
408,お茶,ocha,Noun,tea,unseen,N5
,,おちゃ,,,unseen,N5
409,お風呂,ofuro,Noun,bath,unseen,N5
,,おふろ,,,unseen,N5
410,美味しい,oishii,い-adjective,delicious,unseen,N5
,,おいしい,,,unseen,N5
411,伯父さん,ojisan,Noun,uncle; old man; mister,unseen,N5
,,おじさん,,,unseen,N5
412,お母さん,okaasan,Noun,mother; mom; mum; ma,unseen,N5
,,おかあさん,,,unseen,N5
413,お金,okane,Noun,money,unseen,N5
,,おかね,,,unseen,N5
414,お菓子,okashi,Noun,confections; sweets; candy,unseen,N5
,,おかし,,,unseen,N5
415,起きる,okiru,"Verb, Ichidan verb, Intransitive verb",to get up; to wake up,unseen,N5
,,おきる,,,unseen,N5
416,置く,oku,"Verb, Godan verb, Transitive verb",to put; to place​,unseen,N5
,,おく,,,unseen,N5
417,奥さん,okusan,Noun,wife; your wife; his wife,unseen,N5
,,おくさん,,,unseen,N5
418,お巡りさん,omawari san,Noun,police officer (friendly term for policeman),unseen,N5
,,おまわりさん,,,unseen,N5
419,重い,omoi,い-adjective,heavy,unseen,N5
,,おもい,,,unseen,N5
420,面白い,omoshiroi,"Adjective, い-adjective",interesting,unseen,N5
,,おもしろい,,,unseen,N5
421,同じ,onaji,"Noun, Adverb",same,unseen,N5
,,おなじ,,,unseen,N5
422,お腹,onaka,Noun,stomach,unseen,N5
,,おなか,,,unseen,N5
423,お姉さん,oneesan,Noun,elder sister; young lady; miss; ma'am,unseen,N5
,,おねえさん,,,unseen,N5
424,音楽,ongaku,Noun,music,unseen,N5
,,おんがく,,,unseen,N5
425,お兄さん,oniisan,Noun,older brother; elder brother; young man; buddy,unseen,N5
,,おにいさん,,,unseen,N5
426,女,onna,"Noun, Prefix",woman; female sex,unseen,N5
,,おんな,,,unseen,N5
427,女の子,onnanoko,"Noun, Expression",girl; daughter; young women,unseen,N5
,,おんなのこ,,,unseen,N5
428,多い,ooi,"Adjective, い-adjective",many; numerous; a lot; large quantity; frequent,unseen,N5
,,おおい,,,unseen,N5
429,大きい,ookii,"Adjective, い-adjective",big; large; great; important,unseen,N5
,,おおきい,,,unseen,N5
430,大きな,ookina,Pre-noun adjectival,big; large; great​,unseen,N5
,,おおきな,,,unseen,N5
431,大勢,oozei,Noun,crowd of people; great number of people,unseen,N5
,,おおぜい,,,unseen,N5
432,降りる,oriru,"Verb, Ichidan verb, Intransitive verb",to get off,unseen,N5
,,おりる,,,unseen,N5
433,お酒,osake,Noun,alcohol,unseen,N5
,,おさけ,,,unseen,N5
434,お皿,osara,Noun,"plate, dish",unseen,N5
,,おさら,,,unseen,N5
435,教える,oshieru,"Verb, Ichidan verb, Transitive verb",to teach,unseen,N5
,,おしえる,,,unseen,N5
436,遅い,osoi,"Adjective, い-adjective",slow; time-consuming; late,unseen,N5
,,おそい,,,unseen,N5
437,押す,osu,"Verb, Godan verb, Transitive verb",to push; to press​,unseen,N5
,,おす,,,unseen,N5
438,お手洗い,otearai,Noun,toilet; restroom; lavatory; bathroom,unseen,N5
,,おてあらい,,,unseen,N5
439,男,otoko,Noun,man; male,unseen,N5
,,おとこ,,,unseen,N5
440,男の子,otokonoko,"Noun, Expression",boy; male child; baby boy,unseen,N5
,,おとこのこ,,,unseen,N5
441,大人,otona,Noun,adult,unseen,N5
,,おとな,,,unseen,N5
442,一昨日,ototoi,Noun,day before yesterday,unseen,N5
,,おととい,,,unseen,N5
443,一昨年,ototoshi,Noun,year before last,unseen,N5
,,おととし,,,unseen,N5
444,お父さん,otousan,Noun,father; dad; papa; pa; pop; daddy,unseen,N5
,,おとうさん,,,unseen,N5
445,弟,otouto,Noun,younger brother,unseen,N5
,,おとうと,,,unseen,N5
446,終わる,owaru,"Verb, Godan verb, Intransitive verb",to finish; to end,unseen,N5
,,おわる,,,unseen,N5
447,泳ぐ,oyogu,"Verb, Godan verb, Intransitive verb",to swim,unseen,N5
,,およぐ,,,unseen,N5
448,パーティー,paatii,"Noun, Katakana",party,unseen,N5
,,,,,,
449,パン,pan,"Noun, Katakana",bread,unseen,N5
,,,,,,
450,ページ,peeji,"Noun, Katakana",page,unseen,N5
,,,,,,
451,ペン,pen,"Noun, Katakana",pen,unseen,N5
,,,,,,
452,ペット,petto,"Noun, Katakana",pet,unseen,N5
,,,,,,
453,ポケット,poketto,Noun,pocket,unseen,N5
,,,,,,
454,ポスト,posuto,"Noun, Katakana",post,unseen,N5
,,,,,,
455,プール,puuru,"Noun, Katakana",swimming pool,unseen,N5
,,,,,,
456,来月,raigetsu,Noun,next month,unseen,N5
,,らいげつ,,,unseen,N5
457,来年,rainen,Noun,next year,unseen,N5
,,らいねん,,,unseen,N5
458,来週,raishuu,Noun,next week,unseen,N5
,,らいしゅう,,,unseen,N5
459,ラジオ,rajiio,"Noun, Katakana",radio,unseen,N5
,,,,,,
460,零,rei,Noun,zero,unseen,N5
,,れい,,,unseen,N5
461,冷蔵庫,reizouko,Noun,refrigerator,unseen,N5
,,れいぞうこ,,,unseen,N5
462,レコード,rekoodo,"Noun, Katakana",record,unseen,N5
,,,,,,
463,練習,renshuu,"Noun, Verb, Suru verb",practice; practicing,unseen,N5
,,れんしゅう,,,unseen,N5
464,レストラン,resutoran,"Noun, Katakana",restaurant,unseen,N5
,,,,,,
465,立派,rippa,"Adjective, な-adjective",splendid,unseen,N5
,,りっぱ,,,unseen,N5
466,六,roku,"Noun, Numeric",six; 6,unseen,N5
,,ろく,,,unseen,N5
467,廊下,rouka,Noun,corridor; hallway; passageway,unseen,N5
,,ろうか,,,unseen,N5
468,旅行,ryokou,"Noun, Verb, Suru verb",travel; trip; journey; excursion; tour,unseen,N5
,,りょこう,,,unseen,N5
469,料理,ryouri,"Noun, Suru verb",cuisine,unseen,N5
,,りょうり,,,unseen,N5
470,両親,ryoushin,Noun,parents; both parents,unseen,N5
,,りょうしん,,,unseen,N5
471,留学生,ryuugakusei,Noun,overseas student; exchange student,unseen,N5
,,りゅうがくせい,,,unseen,N5
472,さあ,saa,Conjunction,well…,unseen,N5
,,,,,,
473,財布,saifu,Noun,purse; wallet,unseen,N5
,,さいふ,,,unseen,N5
474,魚,sakana,Noun,fish,unseen,N5
,,さかな,,,unseen,N5
475,先,saki,"Noun, Prefix, Suffix",previous; prior; first; earlier,unseen,N5
,,さき,,,unseen,N5
476,咲く,saku,"Verb, Godan verb, Intransitive verb",to bloom,unseen,N5
,,さく,,,unseen,N5
477,作文,sakubun,Noun,writing; composition,unseen,N5
,,さくぶん,,,unseen,N5
478,寒い,samui,"Adjective, い-adjective",cold,unseen,N5
,,さむい,,,unseen,N5
479,三,san,"Noun, Numeric",three; 3,unseen,N5
,,さん,,,unseen,N5
480,散歩,sanpo,"Noun, Verb, Suru verb",walk; stroll,unseen,N5
,,さんぽ,,,unseen,N5
481,再来年,sarainen,Noun,year after next,unseen,N5
,,さらいねん,,,unseen,N5
482,差す,sasu,"Verb, Godan verb, Transitive verb","to stretch out hands, to raise an umbrella",unseen,N5
,,さす,,,unseen,N5
483,砂糖,satou,Noun,sugar,unseen,N5
,,さとう,,,unseen,N5
484,背,se,Noun,height; stature; back; spine,unseen,N5
,,せ,,,unseen,N5
485,背広,sebiro,Noun,business suit,unseen,N5
,,せびろ,,,unseen,N5
486,セーター,seetaa,"Noun, Katakana",sweater; jumper,unseen,N5
,,,,,,
487,生徒,seito,Noun,pupil; student,unseen,N5
,,せいと,,,unseen,N5
488,石鹼,sekken,Noun,soap,unseen,N5
,,せっけん,,,unseen,N5
489,狭い,semai,い-adjective,narrow,unseen,N5
,,せまい,,,unseen,N5
490,千,sen,"Noun, Numeric","1,000; thousand",unseen,N5
,,せん,,,unseen,N5
491,先月,sengetsu,Noun,last month,unseen,N5
,,せんげつ,,,unseen,N5
492,先生,sensei,"Noun, Suffix",teacher; instructor; master,unseen,N5
,,せんせい,,,unseen,N5
493,先週,senshuu,Noun,last week,unseen,N5
,,せんしゅう,,,unseen,N5
494,洗濯,sentaku,"Noun, Suru verb",washing; laundry,unseen,N5
,,せんたく,,,unseen,N5
495,写真,shashin,Noun,photograph; photo,unseen,N5
,,しゃしん,,,unseen,N5
496,シャツ,shatsu,"Noun, Katakana",shirt,unseen,N5
,,,,,,
497,シャワー,shawaa,"Noun, Katakana",shower,unseen,N5
,,,,,,
498,四,shi,"Noun, Numeric",four; 4,unseen,N5
,,し,,,unseen,N5
499,七,shichi,"Noun, Numeric",seven; 7,unseen,N5
,,しち,,,unseen,N5
500,仕事,shigoto,"Noun, Verb, Suru verb",work; job; business,unseen,N5
,,しごと,,,unseen,N5
501,閉まる,shimaru,"Verb, Godan verb, Intransitive verb","to close, to be closed",unseen,N5
,,しまる,,,unseen,N5
502,閉める,shimeru,"Verb, Ichidan verb, Transitive verb",to close; to shut,unseen,N5
,,しめる,,,unseen,N5
503,締める,shimeru,"Verb, Ichidan verb, Transitive verb",to tie; to fasten; to tighten​,unseen,N5
,,しめる,,,unseen,N5
504,新聞,shinbun,Noun,newspaper,unseen,N5
,,しんぶん,,,unseen,N5
505,死ぬ,shinu,"Verb, Godan verb, Intransitive verb",to die,unseen,N5
,,しぬ,,,unseen,N5
506,塩,shio,Noun,salt,unseen,N5
,,しお,,,unseen,N5
507,白,shiro,Noun,white; innocence; innocent person,unseen,N5
,,しろ,,,unseen,N5
508,白い,shiroi,"Adjective, い-adjective",white,unseen,N5
,,しろい,,,unseen,N5
509,知る,shiru,"Verb, Godan verb, Transitive verb",to know,unseen,N5
,,しる,,,unseen,N5
510,下,shita,Noun,below; down; under; bottom,unseen,N5
,,した,,,unseen,N5
511,質問,shitsumon,"Noun, Verb, Suru verb",question; inquiry,unseen,N5
,,しつもん,,,unseen,N5
512,静か,shizuka,"Adjective, な-adjective",quiet,unseen,N5
,,しずか,,,unseen,N5
513,食堂,shokudou,Noun,cafeteria; dining room,unseen,N5
,,しょくどう,,,unseen,N5
514,醬油,shouyu,Noun,soy sauce,unseen,N5
,,しょうゆ,,,unseen,N5
515,宿題,shukudai,Noun,homework; assignment; pending issue,unseen,N5
,,しゅくだい,,,unseen,N5
516,そば,soba,Noun,near; beside,unseen,N5
,,,,,,
517,そっち,socchi,Pronoun,that way; ​over there,unseen,N5
,,,,,,
518,そちら,sochira,Pronoun,"that way (distant from speaker, close to listener); you; your family",unseen,N5
,,,,,,
519,そこ,soko,Pronoun,that place​; there,unseen,N5
,,,,,,
520,その,sono,Pre-noun adjectival,that,unseen,N5
,,,,,,
521,空,sora,Noun,sky; the air,unseen,N5
,,そら,,,unseen,N5
522,それ,sore,Pronoun,that,unseen,N5
,,,,,,
523,それでは,sore dewa,Expression,in that situation,unseen,N5
,,,,,,
524,外,soto,Noun,outside; exterior;,unseen,N5
,,そと,,,unseen,N5
525,掃除,souji,"Noun, Suru verb","to clean, to sweep",unseen,N5
,,そうじ,,,unseen,N5
526,直ぐに,sugu ni,Adverb,immediately; right away; instantly​,unseen,N5
,,すぐに,,,unseen,N5
527,水曜日,suiyoubi,Noun,Wednesday,unseen,N5
,,すいようび,,,unseen,N5
528,スカート,sukaato,"Noun, Katakana",skirt,unseen,N5
,,,,,,
529,好き,suki,"Noun, Adjective, な-adjective",like,unseen,N5
,,すき,,,unseen,N5
530,少し,sukoshi,"Noun, Adverb",a little (bit); small quantity; few; short distance,unseen,N5
,,すこし,,,unseen,N5
531,少ない,sukunai,い-adjective,few; a little; scarce; insufficient; seldom,unseen,N5
,,すくない,,,unseen,N5
532,住む,sumu,"Verb, Godan verb, Intransitive verb",to live in; to reside; to inhabit; to dwell; to abide,unseen,N5
,,すむ,,,unseen,N5
533,スポーツ,supootsu,"Noun, Katakana",sport; sports,unseen,N5
,,,,,,
534,スプーン,supuun,"Noun, Katakana",spoon,unseen,N5
,,,,,,
535,スリッパ,surippa,"Noun, Katakana",slipper; slippers,unseen,N5
,,,,,,
536,ストーブ,sutoobu,"Noun, Katakana",heater; stove,unseen,N5
,,,,,,
537,吸う,suu,"Verb, Godan verb, Transitive verb","to smoke, to suck",unseen,N5
,,すう,,,unseen,N5
538,座る,suwaru,"Verb, Godan verb, Intransitive verb",to sit,unseen,N5
,,すわる,,,unseen,N5
539,涼しい,suzushii,"Adjective, い-adjective","refreshing, cool",unseen,N5
,,すずしい,,,unseen,N5
540,たばこ,tabako,Noun,tobacco; cigarette,unseen,N5
,,,,,,
541,食べ物,tabemono,Noun,food,unseen,N5
,,たべもの,,,unseen,N5
542,食べる,taberu,"Verb, Ichidan verb, Intransitive verb",to eat,unseen,N5
,,たべる,,,unseen,N5
543,多分,tabun,"Adjective, な-adjective, Adverb",perhaps; probably,unseen,N5
,,たぶん,,,unseen,N5
544,大変,taihen,"Noun, Adjective, な-adjective, Adverb",very; greatly; terribly; serious; difficult,unseen,N5
,,たいへん,,,unseen,N5
545,大切,taisetsu,"Noun, Adjective, な-adjective",important; necessary; indispensable; beloved,unseen,N5
,,たいせつ,,,unseen,N5
546,大使館,taishikan,Noun,embassy,unseen,N5
,,たいしかん,,,unseen,N5
547,高い,takai,"Adjective, い-adjective",high; tall; expensive; above average,unseen,N5
,,たかい,,,unseen,N5
548,沢山,takusan,"Noun, Adverbial Noun, Adjective, な-adjective",many,unseen,N5
,,たくさん,,,unseen,N5
549,タクシー,takushii,"Noun, Katakana",taxi,unseen,N5
,,,,,,
550,卵,tamago,Noun,eggs; egg,unseen,N5
,,たまご,,,unseen,N5
551,誕生日,tanjoubi,Noun,birthday,unseen,N5
,,たんじょうび,,,unseen,N5
552,頼む,tanomu,"Verb, Godan verb, Transitive verb",to ask,unseen,N5
,,たのむ,,,unseen,N5
553,楽しい,tanoshii,"Adjective, い-adjective",enjoyable; fun,unseen,N5
,,たのしい,,,unseen,N5
554,縦,tate,Noun,"length,height",unseen,N5
,,たて,,,unseen,N5
555,建物,tatemono,Noun,building,unseen,N5
,,たてもの,,,unseen,N5
556,立つ,tatsu,"Verb, Godan verb, Intransitive verb",to stand; to stand up​,unseen,N5
,,たつ,,,unseen,N5
557,手,te,Noun,hand; arm,unseen,N5
,,て,,,unseen,N5
558,テーブル,teeburu,"Noun, Katakana",table,unseen,N5
,,,,,,
559,テープ,teepu,"Noun, Katakana",tape,unseen,N5
,,,,,,
560,テープレコーダー,teepu rekoodaa,"Noun, Katakana",tape recorder,unseen,N5
,,,,,,
561,手紙,tegami,Noun,Letter (message)​,unseen,N5
,,てがみ,,,unseen,N5
562,天気,tenki,Noun,weather; the elements,unseen,N5
,,てんき,,,unseen,N5
563,テレビ,terebi,"Noun, Katakana",television; TV​,unseen,N5
,,,,,,
564,テスト,tesuto,"Noun, Suru verb, Katakana",examination; quiz; test,unseen,N5
,,,,,,
565,戸,to,Noun,Japanese style door,unseen,N5
,,と,,,unseen,N5
566,飛ぶ,tobu,"Verb, Godan verb, Intransitive verb",to fly; to hop,unseen,N5
,,とぶ,,,unseen,N5
567,トイレ,toire,"Noun, Katakana",toilet,unseen,N5
,,,,,,
568,時計,tokei,Noun,watch; clock; timepiece,unseen,N5
,,とけい,,,unseen,N5
569,時,toki,Noun,time; moment; occasion; chance,unseen,N5
,,とき,,,unseen,N5
570,時々,tokidoki,"Noun, Adverb",sometimes; at times,unseen,N5
,,ときどき,,,unseen,N5
571,所,tokoro,"Noun, Suffix",place,unseen,N5
,,ところ,,,unseen,N5
572,止まる,tomaru,"Verb, Godan verb, Intransitive verb",to stop; to come to a halt,unseen,N5
,,とまる,,,unseen,N5
573,友達,tomodachi,Noun,friend; companion,unseen,N5
,,ともだち,,,unseen,N5
574,隣,tonari,Noun,next door to,unseen,N5
,,となり,,,unseen,N5
575,遠い,tooi,"Adjective, い-adjective",far,unseen,N5
,,とおい,,,unseen,N5
576,十日,tooka,Noun,tenth day of the month / 10 days,unseen,N5
,,とおか,,,unseen,N5
577,鳥,tori,Noun,bird,unseen,N5
,,とり,,,unseen,N5
578,鶏肉,toriniku,Noun,chicken meat,unseen,N5
,,とりにく,,,unseen,N5
579,取る,toru,"Verb, Godan verb, Transitive verb",to take; to pick up; to harvest; to earn; to win; to choose,unseen,N5
,,とる,,,unseen,N5
580,撮る,toru,"Verb, Godan verb, Transitive verb",to take a photo or record a film,unseen,N5
,,とる,,,unseen,N5
581,年,toshi,Noun,year; age,unseen,N5
,,とし,,,unseen,N5
582,図書館,toshokan,Noun,library,unseen,N5
,,としょかん,,,unseen,N5
583,次,tsugi,Noun,next,unseen,N5
,,つぎ,,,unseen,N5
584,一日,tsuitachi,Noun,first day of the month,unseen,N5
,,ついたち,,,unseen,N5
585,疲れる,tsukareru,"Verb, Ichidan verb, Intransitive verb",to get tired,unseen,N5
,,つかれる,,,unseen,N5
586,使う,tsukau,"Verb, Godan verb, Transitive verb",to use,unseen,N5
,,つかう,,,unseen,N5
587,つける,tsukeru,"Verb, Ichidan verb, Transitive verb",to turn on,unseen,N5
,,,,,,
588,付ける,tsukeru,"Verb, Ichidan verb, Transitive verb",to attach; affix; add; apply,unseen,N5
,,つける,,,unseen,N5
589,着く,tsuku,"Verb, Godan verb, Intransitive verb",to arrive at,unseen,N5
,,つく,,,unseen,N5
590,机,tsukue,Noun,desk,unseen,N5
,,つくえ,,,unseen,N5
591,作る,tsukuru,"Verb, Godan verb, Transitive verb",to make,unseen,N5
,,つくる,,,unseen,N5
592,詰まらない,tsumaranai,"Adjective, い-adjective",boring,unseen,N5
,,つまらない,,,unseen,N5
593,冷たい,tsumetai,い-adjective,cold to the touch,unseen,N5
,,つめたい,,,unseen,N5
594,勤める,tsutomeru,"Verb, Ichidan verb, Transitive verb",to work for someone,unseen,N5
,,つとめる,,,unseen,N5
595,強い,tsuyoi,"Adjective, い-adjective",powerful,unseen,N5
,,つよい,,,unseen,N5
