#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
69,大好き,daisuki,"Adjective, な-adjective",love; like; like very much,unseen,N5
,,だいすき,,,unseen,N5
70,だんだん,dandan,Adverb,gradually,unseen,N5
,,,,,,
71,誰,dare,Pronoun,who,unseen,N5
,,だれ,,,unseen,N5
72,誰か,dareka,Pronoun,someone; somebody,unseen,N5
,,だれか,,,unseen,N5
73,出す,dasu,"Verb, Godan verb, Transitive verb",to take out; to get out; to put out; to reveal,unseen,N5
,,だす,,,unseen,N5
74,出口,deguchi,Noun,exit; gateway; way out,unseen,N5
,,でぐち,,,unseen,N5
75,出かける,dekakeru,"Verb, Ichidan verb, Intransitive verb",to go out; to leave; to depart,unseen,N5
,,でかける,,,unseen,N5
76,電気,denki,Noun,electricity,unseen,N5
,,でんき,,,unseen,N5
77,電車,densha,Noun,train; electric train,unseen,N5
,,でんしゃ,,,unseen,N5
78,電話,denwa,"Noun, Verb, Suru verb",telephone (call / device)l; phone call,unseen,N5
,,でんわ,,,unseen,N5
79,デパート,depaato,"Noun, Katakana",department store,unseen,N5
,,,,,,
80,出る,deru,"Verb, Ichidan verb, Intransitive verb",to leave; to exit; to appear; to go out,unseen,N5
,,でる,,,unseen,N5
81,ドア,doa,"Noun, Katakana",door,unseen,N5
,,,,,,
82,どっち,docchi,Pronoun,which; which one,unseen,N5
,,,,,,
83,どちら,dochira,Pronoun,which of two,unseen,N5
,,,,,,
84,どこ,doko,Pronoun,where; what place​,unseen,N5
,,,,,,
85,どなた,donata,Noun,who,unseen,N5
,,,,,,
86,どの,dono,Pre-noun adjectival,which,unseen,N5
,,,,,,
87,どれ,dore,Pronoun,which (of three or more)​,unseen,N5
,,,,,,
88,どう,dou,Adverb,how; in what way; how about​,unseen,N5
,,,,,,
89,動物,doubutsu,Noun,animal,unseen,N5
,,どうぶつ,,,unseen,N5
90,どうも,doumo,Adverb,thank you; thanks,unseen,N5
,,,,,,
91,どうぞ,douzo,Adverb,please,unseen,N5
,,,,,,
92,土曜日,doyoubi,Noun,Saturday,unseen,N5
,,どようび,,,unseen,N5
93,絵,e,Noun,picture,unseen,N5
,,え,,,unseen,N5
94,ええ,ee,Noun,yes; that is correct; right,unseen,N5
,,,,,,
95,映画,eiga,Noun,movie; film,unseen,N5
,,えいが,,,unseen,N5
96,映画館,eigakan,Noun,movie theater; cinema,unseen,N5
,,えいがかん,,,unseen,N5
97,英語,eigo,Noun,English language,unseen,N5
,,えいご,,,unseen,N5
98,駅,eki,Noun,station,unseen,N5
,,えき,,,unseen,N5
99,鉛筆,enpitsu,Noun,pencil,unseen,N5
,,えんぴつ,,,unseen,N5
100,エレベーター,erebeetaa,"Noun, Katakana",elevator,unseen,N5
,,,,,,
101,フィルム,firumu,"Noun, Katakana",film,unseen,N5
,,,,,,
102,フォーク,fooku,"Noun, Katakana",fork,unseen,N5
,,,,,,
103,服,fuku,Noun,clothes,unseen,N5
,,ふく,,,unseen,N5
104,吹く,fuku,"Verb, Godan verb, Intransitive verb",to blow (of the wind),unseen,N5
,,ふく,,,unseen,N5
105,降る,furu,"Verb, Godan verb, Intransitive verb",to fall,unseen,N5
,,ふる,,,unseen,N5
106,古い,furui,い-adjective,old (not used for people),unseen,N5
,,ふるい,,,unseen,N5
107,二人,futari,Noun,two people; pair; couple,unseen,N5
,,ふたり,,,unseen,N5
108,二つ,futatsu,"Noun, Numeric",two; 2,unseen,N5
,,ふたつ,,,unseen,N5
109,太い,futoi,"Adjective, い-adjective",fat; thick,unseen,N5
,,ふとい,,,unseen,N5
110,二日,futsuka,Noun,the second day of the month / 2 days,unseen,N5
,,ふつか,,,unseen,N5
111,封筒,fuutou,Noun,envelope,unseen,N5
,,ふうとう,,,unseen,N5
112,冬,fuyu,Noun,winter,unseen,N5
,,ふゆ,,,unseen,N5
113,外国,gaikoku,Noun,foreign country,unseen,N5
,,がいこく,,,unseen,N5
114,外国人,gaikokujin,Noun,foreigner; foreign citizen; foreign national; alien; non-Japanese,unseen,N5
,,がいこくじん,,,unseen,N5
115,学校,gakkou,Noun,school,unseen,N5
,,がっこう,,,unseen,N5
116,学生,gakusei,Noun,student,unseen,N5
,,がくせい,,,unseen,N5
